ds,yhat,yhat_lower,yhat_upper,RegionName
2001-08-31,94797.25585972943,93540.3402501521,96073.82541712414,Alabama
2001-09-30,94957.23724459937,93722.41291902462,96205.69542345701,Alabama
2001-10-31,95170.29761528611,93964.8673598035,96534.89111629546,Alabama
2001-11-30,95437.32780323432,94115.48219648353,96673.53254714793,Alabama
2001-12-31,95690.3663510532,94475.9108780396,96863.47162658861,Alabama
2002-01-31,95846.61502796096,94624.5189585621,97104.3007284841,Alabama
2002-02-28,96050.13667607242,94854.11737560136,97307.67248387526,Alabama
2002-03-31,96306.80547254556,95152.45723242522,97609.56045623547,Alabama
2002-04-30,96538.35566683674,95308.47430368884,97817.28599049809,Alabama
2002-05-31,96687.05453261269,95474.63249902746,97938.33880660369,Alabama
2002-06-30,96867.36708633827,95687.71753206305,98163.02506718462,Alabama
2002-07-31,97095.33922227428,95862.85834848027,98384.1147057881,Alabama
2002-08-31,97335.07627486615,96024.18900927762,98572.15972814773,Alabama
2002-09-30,97630.74014609259,96377.2585824952,98897.01830512883,Alabama
2002-10-31,97888.84571348477,96652.11339071934,99179.29211088693,Alabama
2002-11-30,98016.8085613658,96789.88588410938,99313.00192292973,Alabama
2002-12-31,98177.50375261786,96857.26545501212,99458.10585229976,Alabama
2003-01-31,98354.46663909624,97158.23175935938,99575.58359091652,Alabama
2003-02-28,98663.65065480754,97494.51619057504,99966.36444173889,Alabama
2003-03-31,98989.7425342893,97759.9191313199,100168.2770112145,Alabama
2003-04-30,99210.9927903209,97997.75130349105,100488.84918267456,Alabama
2003-05-31,99370.94036204125,98064.75441696166,100614.70421575125,Alabama
2003-06-30,99508.13771044664,98170.3270051523,100846.06809556649,Alabama
2003-07-31,99736.34745428126,98332.39302342685,101066.2831468679,Alabama
2003-08-31,100068.49912222946,98805.63367262385,101273.2873549962,Alabama
2003-09-30,100531.76344873026,99262.44642584833,101800.29027262868,Alabama
2003-10-31,100864.40897208767,99542.84936322803,102222.17544509555,Alabama
2003-11-30,100883.46322770172,99686.34875682414,102189.14430001406,Alabama
2003-12-31,101440.11344434816,100282.651306545,102718.92205726204,Alabama
2004-01-31,102127.15089893578,100788.87619958012,103337.1168049483,Alabama
2004-02-29,102925.85046336404,101702.55046627887,104175.77089168286,Alabama
2004-03-31,103529.82129196069,102294.05317467377,104793.85006846477,Alabama
2004-04-30,104319.06446393672,103203.50224724156,105604.50502548608,Alabama
2004-05-31,105005.47456813288,103690.01677933564,106258.75486688498,Alabama
2004-06-30,105818.67446294904,104561.27595197778,107103.4338454937,Alabama
2004-07-31,106617.69297082874,105358.15628378227,107882.73465156571,Alabama
2004-08-31,107432.1816077846,106163.69552760194,108718.53052238857,Alabama
2004-09-30,108117.04230611023,106923.05395419893,109350.28152526222,Alabama
2004-10-31,108963.99154296533,107665.64088472417,110159.92333914043,Alabama
2004-11-30,110028.49611960608,108849.12512479277,111360.13565040856,Alabama
2004-12-31,111059.37946182996,109718.8717672292,112331.49010215732,Alabama
2005-01-31,111881.63435663348,110661.5556992838,113145.87026588559,Alabama
2005-02-28,112598.2335018433,111376.6102576069,113942.0350260962,Alabama
2005-03-31,113466.69545776823,112207.85404538798,114776.2798328672,Alabama
2005-04-30,114401.47721517309,113159.5895521664,115701.95808422826,Alabama
2005-05-31,115256.70225949754,113970.6921285242,116582.2028915057,Alabama
2005-06-30,116176.27825010933,114833.96214288828,117449.1293066329,Alabama
2005-07-31,117125.55279809353,115878.3772267449,118323.70295892665,Alabama
2005-08-31,117991.2723981202,116553.12134752992,119307.8635300214,Alabama
2005-09-30,118810.96094505902,117538.88443309149,120031.3225315822,Alabama
2005-10-31,119705.71871654988,118381.30424613351,120903.93020890444,Alabama
